,DJI
21/1/1971,854.73999
22/1/1971,861.309998
25/1/1971,865.619995
26/1/1971,866.789978
27/1/1971,860.830017
28/1/1971,865.140015
29/1/1971,868.5
1/2/1971,877.809998
2/2/1971,874.590027
3/2/1971,876.22998
4/2/1971,874.789978
5/2/1971,876.570007
8/2/1971,882.119995
9/2/1971,879.789978
10/2/1971,881.090027
11/2/1971,885.340027
12/2/1971,888.830017
16/2/1971,890.059998
17/2/1971,887.869995
18/2/1971,885.059998
19/2/1971,878.559998
22/2/1971,868.97998
23/2/1971,870
24/2/1971,875.619995
25/2/1971,881.97998
26/2/1971,878.830017
1/3/1971,882.530029
2/3/1971,883.01001
3/3/1971,882.390015
4/3/1971,891.359985
5/3/1971,898
8/3/1971,898.619995
9/3/1971,899.099976
10/3/1971,895.880005
11/3/1971,899.440002
12/3/1971,898.340027
15/3/1971,908.200012
16/3/1971,914.640015
17/3/1971,914.02002
18/3/1971,916.830017
19/3/1971,912.919983
22/3/1971,910.599976
23/3/1971,908.890015
24/3/1971,899.369995
25/3/1971,900.809998
26/3/1971,903.47998
29/3/1971,903.47998
30/3/1971,903.390015
31/3/1971,904.369995
1/4/1971,903.880005
2/4/1971,903.039978
5/4/1971,905.070007
6/4/1971,912.72998
7/4/1971,918.48999
8/4/1971,920.390015
12/4/1971,926.640015
13/4/1971,927.280029
14/4/1971,932.549988
15/4/1971,938.169983
16/4/1971,940.210022
19/4/1971,948.849976
20/4/1971,944.419983
21/4/1971,941.330017
22/4/1971,940.630005
23/4/1971,947.789978
26/4/1971,944
27/4/1971,947.090027
28/4/1971,950.820007
29/4/1971,948.150024
30/4/1971,941.75
3/5/1971,932.409973
4/5/1971,938.450012
5/5/1971,939.919983
6/5/1971,937.390015
7/5/1971,936.969971
10/5/1971,932.549988
11/5/1971,937.25
12/5/1971,937.460022
13/5/1971,936.340027
14/5/1971,936.059998
17/5/1971,921.299988
18/5/1971,918.559998
19/5/1971,920.039978
20/5/1971,923.409973
21/5/1971,921.869995
24/5/1971,913.150024
25/5/1971,906.690002
26/5/1971,906.409973
27/5/1971,905.780029
28/5/1971,907.809998
1/6/1971,913.650024
2/6/1971,919.619995
3/6/1971,921.299988
4/6/1971,922.150024
7/6/1971,923.059998
8/6/1971,915.01001
9/6/1971,912.460022
10/6/1971,915.960022
11/6/1971,916.469971
14/6/1971,907.710022
15/6/1971,907.200012
16/6/1971,908.590027
17/6/1971,906.25
18/6/1971,889.159973
21/6/1971,876.530029
22/6/1971,874.419983
23/6/1971,879.450012
24/6/1971,877.26001
25/6/1971,876.679993
28/6/1971,873.099976
29/6/1971,882.299988
30/6/1971,891.140015
1/7/1971,893.030029
2/7/1971,890.190002
6/7/1971,892.299988
7/7/1971,895.880005
8/7/1971,900.98999
9/7/1971,901.799988
12/7/1971,903.400024
13/7/1971,892.380005
14/7/1971,891.210022
15/7/1971,888.869995
16/7/1971,888.51001
19/7/1971,886.390015
20/7/1971,892.299988
21/7/1971,890.840027
22/7/1971,886.679993
23/7/1971,887.780029
26/7/1971,888.869995
27/7/1971,880.700012
28/7/1971,872.01001
29/7/1971,861.419983
30/7/1971,858.429993
2/8/1971,864.919983
3/8/1971,850.030029
4/8/1971,844.919983
5/8/1971,849.450012
6/8/1971,850.609985
9/8/1971,842.650024
10/8/1971,839.590027
11/8/1971,846.380005
12/8/1971,859.01001
13/8/1971,856.02002
16/8/1971,888.950012
17/8/1971,899.900024
18/8/1971,886.169983
19/8/1971,880.77002
20/8/1971,880.909973
23/8/1971,892.380005
24/8/1971,904.130005
25/8/1971,908.369995
26/8/1971,906.099976
27/8/1971,908.150024
30/8/1971,901.429993
31/8/1971,898.070007
1/9/1971,899.02002
2/9/1971,900.630005
3/9/1971,912.75
7/9/1971,916.469971
8/9/1971,920.929993
9/9/1971,915.890015
10/9/1971,911
13/9/1971,909.390015
14/9/1971,901.650024
15/9/1971,904.859985
16/9/1971,903.109985
17/9/1971,908.219971
20/9/1971,905.150024
21/9/1971,903.400024
22/9/1971,893.549988
23/9/1971,891.280029
24/9/1971,889.309998
27/9/1971,883.469971
28/9/1971,884.419983
29/9/1971,883.830017
30/9/1971,887.190002
1/10/1971,893.97998
4/10/1971,895.659973
5/10/1971,891.140015
6/10/1971,900.549988
7/10/1971,901.799988
8/10/1971,893.909973
11/10/1971,891.940002
12/10/1971,893.549988
13/10/1971,888.799988
14/10/1971,878.359985
15/10/1971,874.580017
18/10/1971,872.440002
19/10/1971,868.429993
20/10/1971,855.650024
21/10/1971,854.849976
22/10/1971,852.369995
25/10/1971,848.5
26/10/1971,845.359985
27/10/1971,836.380005
28/10/1971,837.619995
29/10/1971,839
1/11/1971,825.859985
2/11/1971,827.97998
3/11/1971,842.580017
4/11/1971,843.169983
5/11/1971,840.390015
8/11/1971,837.539978
9/11/1971,837.909973
10/11/1971,826.150024
11/11/1971,814.909973
12/11/1971,812.940002
15/11/1971,810.530029
16/11/1971,818.710022
17/11/1971,822.140015
18/11/1971,815.349976
19/11/1971,810.669983
22/11/1971,803.150024
23/11/1971,797.969971
24/11/1971,798.630005
26/11/1971,816.590027
29/11/1971,829.72998
30/11/1971,831.340027
1/12/1971,846.01001
2/12/1971,848.789978
3/12/1971,859.590027
6/12/1971,855.719971
7/12/1971,857.400024
8/12/1971,854.849976
9/12/1971,852.150024
10/12/1971,856.75
13/12/1971,858.789978
14/12/1971,855.140015
15/12/1971,863.76001
16/12/1971,871.390015
17/12/1971,873.799988
20/12/1971,885.01001
21/12/1971,888.320007
22/12/1971,884.859985
23/12/1971,881.169983
27/12/1971,881.469971
28/12/1971,889.97998
29/12/1971,893.659973
30/12/1971,889.070007
31/12/1971,890.200012
3/1/1972,889.299988
4/1/1972,892.22998
5/1/1972,904.429993
6/1/1972,908.48999
7/1/1972,910.369995
10/1/1972,907.960022
11/1/1972,912.099976
12/1/1972,910.820007
13/1/1972,905.179993
14/1/1972,906.679993
17/1/1972,911.119995
18/1/1972,917.219971
19/1/1972,914.960022
20/1/1972,910.299988
21/1/1972,907.440002
24/1/1972,896.820007
25/1/1972,894.719971
26/1/1972,889.150024
27/1/1972,899.830017
28/1/1972,906.380005
31/1/1972,902.169983
1/2/1972,901.789978
2/2/1972,905.849976
3/2/1972,903.150024
4/2/1972,906.679993
7/2/1972,903.969971
8/2/1972,907.130005
9/2/1972,918.719971
10/2/1972,921.280029
11/2/1972,917.590027
14/2/1972,910.900024
15/2/1972,914.51001
16/2/1972,922.940002
17/2/1972,922.030029
18/2/1972,917.52002
22/2/1972,913.460022
23/2/1972,911.880005
24/2/1972,912.700012
25/2/1972,922.789978
28/2/1972,924.289978
29/2/1972,928.130005
1/3/1972,935.429993
2/3/1972,933.77002
3/3/1972,942.429993
6/3/1972,950.179993
7/3/1972,946.869995
8/3/1972,945.590027
9/3/1972,942.809998
10/3/1972,939.869995
13/3/1972,928.659973
14/3/1972,934
15/3/1972,937.309998
16/3/1972,936.710022
17/3/1972,942.880005
20/3/1972,941.150024
21/3/1972,934
22/3/1972,933.929993
23/3/1972,944.690002
24/3/1972,942.280029
27/3/1972,939.719971
28/3/1972,937.01001
29/3/1972,933.02002
30/3/1972,940.700012
3/4/1972,940.919983
4/4/1972,943.409973
5/4/1972,954.549988
6/4/1972,959.440002
7/4/1972,962.599976
10/4/1972,958.080017
11/4/1972,962.599976
12/4/1972,966.960022
13/4/1972,965.530029
14/4/1972,967.719971
17/4/1972,966.590027
18/4/1972,968.919983
19/4/1972,964.780029
20/4/1972,966.289978
21/4/1972,963.799988
24/4/1972,957.47998
25/4/1972,946.48999
26/4/1972,946.940002
27/4/1972,945.969971
28/4/1972,954.169983
1/5/1972,942.280029
2/5/1972,935.200012
3/5/1972,933.469971
4/5/1972,937.309998
5/5/1972,941.22998
8/5/1972,937.840027
9/5/1972,925.119995
10/5/1972,931.070007
11/5/1972,934.830017
12/5/1972,941.830017
15/5/1972,942.200012
16/5/1972,939.27002
17/5/1972,941.150024
18/5/1972,951.22998
19/5/1972,961.539978
22/5/1972,965.309998
23/5/1972,962.299988
24/5/1972,965.460022
25/5/1972,969.070007
26/5/1972,971.25
30/5/1972,971.179993
31/5/1972,960.719971
1/6/1972,960.719971
2/6/1972,961.390015
5/6/1972,954.390015
6/6/1972,951.460022
7/6/1972,944.080017
8/6/1972,941.299988
9/6/1972,934.450012
12/6/1972,936.710022
13/6/1972,938.289978
14/6/1972,946.789978
15/6/1972,945.969971
16/6/1972,945.059998
19/6/1972,941.830017
20/6/1972,948.219971
21/6/1972,951.609985
22/6/1972,950.710022
23/6/1972,944.690002
26/6/1972,936.409973
27/6/1972,935.280029
28/6/1972,930.840027
29/6/1972,926.25
30/6/1972,929.030029
3/7/1972,928.659973
5/7/1972,933.469971
6/7/1972,942.130005
7/7/1972,938.059998
10/7/1972,932.27002
11/7/1972,925.869995
12/7/1972,923.690002
13/7/1972,916.98999
14/7/1972,922.26001
17/7/1972,914.960022
18/7/1972,911.719971
19/7/1972,916.690002
20/7/1972,910.450012
21/7/1972,920.450012
24/7/1972,935.359985
25/7/1972,934.450012
26/7/1972,932.570007
27/7/1972,926.849976
28/7/1972,926.700012
31/7/1972,924.73999
1/8/1972,930.460022
2/8/1972,941.150024
3/8/1972,947.700012
4/8/1972,951.76001
7/8/1972,953.119995
8/8/1972,952.440002
9/8/1972,951.159973
10/8/1972,952.890015
11/8/1972,964.179993
14/8/1972,973.51001
15/8/1972,969.969971
16/8/1972,964.25
17/8/1972,961.390015
18/8/1972,965.830017
21/8/1972,967.190002
22/8/1972,973.51001
23/8/1972,970.349976
24/8/1972,958.380005
25/8/1972,959.359985
28/8/1972,956.950012
29/8/1972,954.700012
30/8/1972,957.859985
31/8/1972,963.72998
1/9/1972,970.049988
5/9/1972,969.369995
6/9/1972,963.429993
7/9/1972,962.450012
8/9/1972,961.23999
11/9/1972,955
12/9/1972,946.039978
13/9/1972,949.880005
14/9/1972,947.549988
15/9/1972,947.320007
18/9/1972,945.359985
19/9/1972,943.179993
20/9/1972,940.25
21/9/1972,939.48999
22/9/1972,943.030029
25/9/1972,935.72998
26/9/1972,936.559998
27/9/1972,947.25
28/9/1972,955.150024
29/9/1972,953.27002
2/10/1972,953.27002
3/10/1972,954.469971
4/10/1972,951.309998
5/10/1972,941.299988
6/10/1972,945.359985
9/10/1972,948.75
10/10/1972,951.840027
11/10/1972,946.419983
12/10/1972,937.460022
13/10/1972,930.460022
16/10/1972,921.659973
17/10/1972,926.47998
18/10/1972,932.340027
19/10/1972,932.119995
20/10/1972,942.809998
23/10/1972,951.309998
24/10/1972,952.51001
25/10/1972,951.380005
26/10/1972,950.559998
27/10/1972,946.419983
30/10/1972,946.419983
31/10/1972,955.52002
1/11/1972,968.539978
2/11/1972,973.059998
3/11/1972,984.119995
6/11/1972,984.799988
8/11/1972,983.73999
9/11/1972,988.26001
10/11/1972,995.26001
13/11/1972,997.070007
14/11/1972,1003.159973
15/11/1972,998.419983
16/11/1972,1003.690002
17/11/1972,1005.570007
20/11/1972,1005.039978
21/11/1972,1013.25
22/11/1972,1020.539978
24/11/1972,1025.209961
27/11/1972,1017.76001
28/11/1972,1019.340027
29/11/1972,1018.809998
30/11/1972,1018.210022
1/12/1972,1023.929993
4/12/1972,1027.02002
5/12/1972,1022.950012
6/12/1972,1027.540039
7/12/1972,1033.26001
8/12/1972,1033.189941
11/12/1972,1036.27002
12/12/1972,1033.189941
13/12/1972,1030.47998
14/12/1972,1025.060059
15/12/1972,1027.23999
18/12/1972,1013.25
19/12/1972,1009.179993
20/12/1972,1004.820007
21/12/1972,1000
22/12/1972,1004.210022
26/12/1972,1006.700012
27/12/1972,1007.679993
29/12/1972,1020.02002
2/1/1973,1031.680054
3/1/1973,1043.800049
4/1/1973,1039.810059
5/1/1973,1047.48999
8/1/1973,1047.859985
9/1/1973,1047.109985
10/1/1973,1046.060059
11/1/1973,1051.699951
12/1/1973,1039.359985
15/1/1973,1025.589966
16/1/1973,1024.310059
17/1/1973,1029.119995
18/1/1973,1029.119995
19/1/1973,1026.189941
22/1/1973,1018.809998
23/1/1973,1018.659973
24/1/1973,1004.590027
26/1/1973,1003.539978
29/1/1973,996.460022
30/1/1973,992.929993
31/1/1973,999.02002
1/2/1973,985.780029
2/2/1973,980.809998
5/2/1973,978.400024
6/2/1973,979.909973
7/2/1973,968.320007
8/2/1973,967.190002
9/2/1973,979.460022
12/2/1973,991.570007
13/2/1973,996.76001
14/2/1973,979.909973
15/2/1973,973.130005
16/2/1973,979.22998
20/2/1973,983.590027
21/2/1973,974.340027
22/2/1973,971.780029
23/2/1973,959.890015
26/2/1973,953.789978
27/2/1973,947.919983
28/2/1973,955.070007
1/3/1973,949.650024
2/3/1973,961.320007
5/3/1973,966.890015
6/3/1973,979
7/3/1973,979.97998
8/3/1973,976.440002
9/3/1973,972.22998
12/3/1973,969.75
13/3/1973,976.070007
14/3/1973,978.849976
15/3/1973,969.820007
16/3/1973,963.049988
19/3/1973,952.059998
20/3/1973,949.429993
